URL,Title,Visit Time,Visit Count,Visited From,Web Browser,User Profile,Browser Profile,URL Length,Typed Count
file:///C:/,,2022-08-11 ¿ÀÀü 10:40:27,1,,Internet Explorer 10/11 / Edge,AD01713091,,11,
file:///C:/»õ%20Æú´õ,,2022-08-11 ¿ÀÀü 10:40:27,1,,Internet Explorer 10/11 / Edge,AD01713091,,17,
file:///C:/Users/AD01713091/Pictures/¾ÆÆ¼ÆÑÆ®¼öÁı°á°ú.png,,2022-08-08 ¿ÀÈÄ 4:56:21,1,,Internet Explorer 10/11 / Edge,AD01713091,,49,
file:///D:/Dev/line_exart/drive_,,2022-08-08 ¿ÀÈÄ 4:23:20,1,,Internet Explorer 10/11 / Edge,AD01713091,,32,
file:///D:/Dev/line_exart/artifacts/hash/Hashes_Dates64.txt,,2022-08-08 ¿ÀÈÄ 3:10:12,4,,Internet Explorer 10/11 / Edge,AD01713091,,59,
file:///D:/per_test/exit.js,,2022-08-08 ¿ÀÈÄ 2:50:27,1,,Internet Explorer 10/11 / Edge,AD01713091,,27,
file:///D:/per_test/splitscreen/sunshine/assets/1sido.txt,,2022-08-08 ¿ÀÈÄ 2:40:16,1,,Internet Explorer 10/11 / Edge,AD01713091,,57,
file:///D:/per_test/splitscreen/sunshine/assets/1dong.txt,,2022-08-08 ¿ÀÈÄ 2:40:12,1,,Internet Explorer 10/11 / Edge,AD01713091,,57,
file:///C:/Users/AD01713091/Downloads/modsunshine%20compiled%20signed.apk.zip,,2022-08-08 ¿ÀÈÄ 2:38:09,1,,Internet Explorer 10/11 / Edge,AD01713091,,77,
é¥,,2022-08-08 ¿ÀÈÄ 2:37:32,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
é¥,,2022-08-08 ¿ÀÈÄ 2:37:32,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
https://googleads.g.doubleclick.net/pagead/html/r20220803/r20190131/zrt_lookup.html,,2022-08-08 ¿ÀÈÄ 2:37:32,1,,Internet Explorer 10/11 / Edge,AD01713091,,83,
file:///D:/per_test,,2022-08-08 ¿ÀÈÄ 2:37:15,2,,Internet Explorer 10/11 / Edge,AD01713091,,19,
file:///D:/per_test/splitscreen,,2022-08-08 ¿ÀÈÄ 2:37:15,1,,Internet Explorer 10/11 / Edge,AD01713091,,31,
file:///C:/Users/AD01713091/Downloads/sunshine.zip,,2022-08-08 ¿ÀÈÄ 2:36:00,1,,Internet Explorer 10/11 / Edge,AD01713091,,50,
file:///C:/Users/AD01713091/Downloads/QuickSplitScreen.zip,,2022-08-08 ¿ÀÈÄ 2:36:00,1,,Internet Explorer 10/11 / Edge,AD01713091,,58,
file:///D:/Dev/line_exart/»õ%20Æú´õ,,2022-08-08 ¿ÀÈÄ 2:08:57,1,,Internet Explorer 10/11 / Edge,AD01713091,,32,
file:///C:/Users/AD01713091/AppData/Local/Temp/BES/ClientUI/_noselection.html,,2022-08-08 ¿ÀÈÄ 12:33:04,15,,Internet Explorer 10/11 / Edge,AD01713091,,77,
file:///D:/Game_workspace/01AppGuard/02appguard_dump_test,,2022-08-08 ¿ÀÀü 10:53:44,2,,Internet Explorer 10/11 / Edge,AD01713091,,57,
file:///D:/Game_workspace/01AppGuard/02appguard_dump_test/so,,2022-08-08 ¿ÀÀü 10:53:44,1,,Internet Explorer 10/11 / Edge,AD01713091,,60,
file:///D:/Game_workspace/01AppGuard/02appguard_dump_test/script/loaddex_hook.js,,2022-08-08 ¿ÀÀü 10:40:24,1,,Internet Explorer 10/11 / Edge,AD01713091,,80,
file:///D:/Game_workspace/01AppGuard/02appguard_dump_test/script/test3.js,,2022-08-08 ¿ÀÀü 10:40:06,1,,Internet Explorer 10/11 / Edge,AD01713091,,73,
file:///D:/Game_workspace/01AppGuard,,2022-08-08 ¿ÀÀü 10:39:35,12,,Internet Explorer 10/11 / Edge,AD01713091,,36,
file:///D:/Game_workspace/01AppGuard/01ÀÚµ¿È­/script/unity_ck.js,,2022-08-08 ¿ÀÀü 10:38:18,1,,Internet Explorer 10/11 / Edge,AD01713091,,61,
ms-settings:windowsupdate,,2022-08-08 ¿ÀÀü 8:23:54,15,,Internet Explorer 10/11 / Edge,AD01713091,,25,
ms-gamingoverlay:///,,2022-08-05 ¿ÀÈÄ 4:23:30,8,,Internet Explorer 10/11 / Edge,AD01713091,,20,
ms-gamingoverlay://kglcheck/,,2022-08-05 ¿ÀÈÄ 4:23:29,9,,Internet Explorer 10/11 / Edge,AD01713091,,28,
file:///D:/Game_workspace/99/ipa/high1resort.i64,,2022-07-22 ¿ÀÈÄ 4:35:09,1,,Internet Explorer 10/11 / Edge,AD01713091,,48,
file:///D:/Dev/line_exart/exart1.0.py,,2022-07-22 ¿ÀÈÄ 1:32:25,2,,Internet Explorer 10/11 / Edge,AD01713091,,37,
file:///C:/Users/AD01713091/Pictures/messageImage_1658452873270.jpeg,,2022-07-22 ¿ÀÀü 10:22:35,1,,Internet Explorer 10/11 / Edge,AD01713091,,68,
file:///D:/Game_workspace/08Web/03UWO_¼ö½Å°ÅºÎÆäÀÌÁö/short_decypt.png,,2022-07-22 ¿ÀÀü 9:26:28,1,,Internet Explorer 10/11 / Edge,AD01713091,,62,
file:///D:/Game_workspace/08Web,,2022-07-22 ¿ÀÀü 9:26:11,4,,Internet Explorer 10/11 / Edge,AD01713091,,31,
file:///D:/Game_workspace/08Web/03UWO_¼ö½Å°ÅºÎÆäÀÌÁö,,2022-07-22 ¿ÀÀü 9:26:11,1,,Internet Explorer 10/11 / Edge,AD01713091,,45,
file:///D:/Game_workspace/99/seach_test.js,,2022-07-21 ¿ÀÈÄ 4:17:21,1,,Internet Explorer 10/11 / Edge,AD01713091,,42,
file:///D:/Game_workspace/01AppGuard/01ÀÚµ¿È­/inca/inca_ud_comment.js,,2022-07-21 ¿ÀÈÄ 4:01:38,1,,Internet Explorer 10/11 / Edge,AD01713091,,66,
file:///D:/Game_workspace/02Frida/highoneresort_appsuit_2.js,,2022-07-21 ¿ÀÈÄ 3:45:08,2,,Internet Explorer 10/11 / Edge,AD01713091,,60,
file:///D:/Game_workspace/99/high1resort_ios.js,,2022-07-21 ¿ÀÈÄ 3:44:21,1,,Internet Explorer 10/11 / Edge,AD01713091,,47,
file:///D:/Game_workspace/02Frida/highoneresort_appsuit.js,,2022-07-21 ¿ÀÈÄ 3:02:09,1,,Internet Explorer 10/11 / Edge,AD01713091,,58,
file:///D:/Game_workspace/99/ipa/high1resort.id0,,2022-07-21 ¿ÀÀü 9:39:10,1,,Internet Explorer 10/11 / Edge,AD01713091,,48,
file:///D:/Game_workspace/01AppGuard/01ÀÚµ¿È­/inca/ud.js,,2022-07-21 ¿ÀÀü 9:33:18,1,,Internet Explorer 10/11 / Edge,AD01713091,,53,
